filename,width,height,name,xmin,ymin,xmax,ymax,class
2010_001363.jpg,500,500,tvmonitor,285,261,486,443,19
2010_001363.jpg,500,500,tvmonitor,1,251,65,464,19
2010_005216.jpg,266,400,cat,33,74,256,371,7
2010_003877.jpg,500,394,bus,204,178,303,282,5
2010_003877.jpg,500,394,car,134,188,166,270,6
2010_003877.jpg,500,394,person,314,176,335,237,14
2010_003877.jpg,500,394,person,326,173,344,236,14
2010_003877.jpg,500,394,person,121,190,148,289,14
2010_003877.jpg,500,394,person,121,189,132,204,14
2010_003877.jpg,500,394,person,145,180,165,217,14
2010_003877.jpg,500,394,person,220,196,248,221,14
2010_004680.jpg,361,500,bottle,122,20,248,490,4
2010_005816.jpg,500,375,train,271,174,500,246,18
2010_003527.jpg,500,333,cat,107,22,379,304,7
2010_002976.jpg,500,375,cat,1,1,355,375,7
2010_001885.jpg,500,426,cat,116,1,437,426,7
2010_001860.jpg,375,500,tvmonitor,159,1,375,122,19
2010_001528.jpg,500,375,person,248,127,397,295,14
2010_001528.jpg,500,375,person,2,88,324,375,14
2010_001528.jpg,500,375,chair,388,228,493,375,8
2010_001528.jpg,500,375,bottle,403,337,421,375,4
2010_006707.jpg,500,454,person,271,20,441,426,14
2010_006707.jpg,500,454,person,1,18,115,400,14
2010_006707.jpg,500,454,person,67,26,215,454,14
2010_002468.jpg,500,335,dog,123,66,419,307,11
2010_002096.jpg,500,375,person,14,105,205,375,14
2010_002096.jpg,500,375,person,106,118,242,375,14
2010_002096.jpg,500,375,person,235,132,358,375,14
2010_002096.jpg,500,375,person,387,135,488,375,14
2010_002096.jpg,500,375,person,463,84,500,375,14
2010_002520.jpg,333,500,bottle,157,243,196,366,4
2010_002520.jpg,333,500,diningtable,1,349,333,500,10
2010_002520.jpg,333,500,person,52,81,285,363,14
2010_006234.jpg,375,500,person,87,45,267,469,14
2010_001647.jpg,500,375,cat,10,62,500,289,7
2010_000413.jpg,500,281,horse,311,60,485,187,12
2010_000413.jpg,500,281,horse,165,55,321,180,12
2010_000413.jpg,500,281,horse,42,50,163,171,12
2010_000413.jpg,500,281,person,1,63,20,149,14
2010_003987.jpg,500,375,dog,106,54,397,355,11
2010_006324.jpg,500,375,person,319,99,383,297,14
2010_006324.jpg,500,375,person,219,82,298,303,14
2010_006324.jpg,500,375,person,89,99,168,310,14
2010_006282.jpg,441,500,person,4,18,429,500,14
2010_005432.jpg,500,347,car,36,71,487,319,6
2010_003597.jpg,500,375,diningtable,51,221,322,375,10
2010_003597.jpg,500,375,diningtable,447,201,500,309,10
2010_003597.jpg,500,375,sofa,1,180,442,375,17
2010_003597.jpg,500,375,sofa,357,171,500,375,17
2010_003597.jpg,500,375,bottle,181,233,201,290,4
2010_003597.jpg,500,375,person,123,139,201,231,14
2010_003597.jpg,500,375,person,292,151,373,315,14
2010_003597.jpg,500,375,person,251,124,376,256,14
2010_003597.jpg,500,375,person,196,137,257,234,14
2010_003597.jpg,500,375,pottedplant,1,39,88,197,15
2010_003597.jpg,500,375,person,102,94,144,148,14
2010_000702.jpg,500,375,cat,1,106,285,375,7
2010_002029.jpg,500,397,dog,109,29,428,394,11
2010_005556.jpg,500,375,bicycle,70,1,443,375,1
2010_005921.jpg,500,375,chair,247,187,500,374,8
2010_001211.jpg,500,375,dog,162,120,269,232,11
2010_004717.jpg,360,480,cat,58,85,171,472,7
2010_002191.jpg,500,375,sofa,127,203,400,337,17
2010_002191.jpg,500,375,chair,393,178,477,275,8
2010_002191.jpg,500,375,chair,1,182,80,276,8
2010_002191.jpg,500,375,person,179,128,198,174,14
2010_002191.jpg,500,375,sofa,75,311,500,375,17
2010_004557.jpg,500,333,car,359,283,393,302,6
2010_004557.jpg,500,333,car,339,288,376,304,6
2010_004557.jpg,500,333,aeroplane,154,56,493,167,0
2010_004557.jpg,500,333,car,283,288,344,313,6
2010_004557.jpg,500,333,car,396,283,424,299,6
2010_004557.jpg,500,333,car,420,286,437,297,6
2010_004557.jpg,500,333,car,393,288,408,300,6
2010_004557.jpg,500,333,car,423,282,445,295,6
2010_004557.jpg,500,333,car,442,284,465,295,6
2010_000198.jpg,500,375,car,3,35,500,374,6
2010_003028.jpg,500,375,sheep,182,118,429,293,16
2010_003028.jpg,500,375,bird,6,103,40,138,2
2010_003028.jpg,500,375,bird,65,76,89,112,2
2010_001085.jpg,375,500,aeroplane,1,110,375,423,0
2010_001595.jpg,500,388,horse,26,141,314,329,12
2010_001595.jpg,500,388,horse,294,186,464,284,12
2010_001595.jpg,500,388,horse,185,78,447,260,12
2010_001845.jpg,500,333,dog,184,52,325,229,11
2010_001275.jpg,500,273,car,228,112,432,195,6
2010_001275.jpg,500,273,car,43,105,246,193,6
2010_005800.jpg,375,500,chair,29,102,315,500,8
2010_005899.jpg,500,375,cat,1,67,500,320,7
2010_004608.jpg,500,375,aeroplane,186,138,271,166,0
2010_004763.jpg,500,365,chair,319,1,500,306,8
2010_004763.jpg,500,365,chair,1,128,169,295,8
2010_004763.jpg,500,365,chair,1,1,325,363,8
2010_004763.jpg,500,365,chair,349,35,441,271,8
2010_000110.jpg,333,500,dog,95,59,333,420,11
2010_000110.jpg,333,500,person,63,1,333,388,14
2010_000159.jpg,500,333,dog,224,38,500,332,11
2010_000159.jpg,500,333,dog,1,1,276,333,11
2010_003520.jpg,375,500,diningtable,88,399,294,500,10
2010_003520.jpg,375,500,chair,281,447,375,500,8
2010_003520.jpg,375,500,chair,21,392,127,500,8
2010_003520.jpg,375,500,chair,103,372,186,491,8
2010_003520.jpg,375,500,sofa,215,332,294,404,17
2010_000828.jpg,500,375,cat,179,113,357,353,7
2010_004211.jpg,500,332,dog,90,95,315,280,11
2010_006210.jpg,500,375,person,277,84,350,345,14
2010_003007.jpg,480,360,dog,62,5,469,360,11
2010_000508.jpg,500,375,car,295,132,500,238,6
2010_000508.jpg,500,375,car,1,86,231,246,6
2010_002871.jpg,500,333,chair,242,81,354,229,8
2010_002871.jpg,500,333,bottle,402,56,421,85,4
2010_002871.jpg,500,333,person,1,1,216,333,14
2010_002871.jpg,500,333,person,225,103,439,333,14
2010_002871.jpg,500,333,person,339,83,500,333,14
2010_002871.jpg,500,333,person,261,4,377,99,14
2010_002871.jpg,500,333,person,418,1,500,266,14
2010_002871.jpg,500,333,person,337,98,379,188,14
2010_002871.jpg,500,333,person,358,17,445,90,14
