filename,width,height,name,xmin,ymin,xmax,ymax,weight,class,w_cat
maksssksksss737.png,400,226,with_mask,28,55,46,71,0.33353798297315,2,0.3
maksssksksss737.png,400,226,with_mask,98,62,111,78,0.33353798297315,2,0.3
maksssksksss737.png,400,226,mask_weared_incorrect,159,50,193,90,0.33353798297315,1,0.3
maksssksksss737.png,400,226,with_mask,293,59,313,80,0.33353798297315,2,0.3
maksssksksss737.png,400,226,with_mask,352,51,372,72,0.33353798297315,2,0.3
maksssksksss737.png,400,226,with_mask,228,53,241,73,0.33353798297315,2,0.3
maksssksksss410.png,400,267,with_mask,34,153,62,176,0.2426443072317336,2,0.2
maksssksksss410.png,400,267,with_mask,88,138,111,163,0.2426443072317336,2,0.2
maksssksksss410.png,400,267,with_mask,139,207,168,234,0.2426443072317336,2,0.2
maksssksksss410.png,400,267,with_mask,116,135,135,154,0.2426443072317336,2,0.2
maksssksksss410.png,400,267,with_mask,135,103,152,121,0.2426443072317336,2,0.2
maksssksksss410.png,400,267,mask_weared_incorrect,101,91,115,106,0.2426443072317336,1,0.2
maksssksksss410.png,400,267,with_mask,58,109,72,127,0.2426443072317336,2,0.2
maksssksksss410.png,400,267,with_mask,56,91,65,103,0.2426443072317336,2,0.2
maksssksksss410.png,400,267,with_mask,80,81,89,91,0.2426443072317336,2,0.2
maksssksksss410.png,400,267,with_mask,176,115,202,139,0.2426443072317336,2,0.2
maksssksksss410.png,400,267,with_mask,205,96,221,115,0.2426443072317336,2,0.2
maksssksksss410.png,400,267,with_mask,291,110,324,139,0.2426443072317336,2,0.2
maksssksksss410.png,400,267,with_mask,366,131,381,154,0.2426443072317336,2,0.2
maksssksksss410.png,400,267,with_mask,246,87,255,105,0.2426443072317336,2,0.2
maksssksksss410.png,400,267,with_mask,217,62,231,78,0.2426443072317336,2,0.2
maksssksksss410.png,400,267,with_mask,180,56,192,68,0.2426443072317336,2,0.2
maksssksksss410.png,400,267,with_mask,121,63,130,76,0.2426443072317336,2,0.2
maksssksksss410.png,400,267,with_mask,34,83,42,99,0.2426443072317336,2,0.2
maksssksksss410.png,400,267,with_mask,26,70,34,82,0.2426443072317336,2,0.2
maksssksksss410.png,400,267,with_mask,55,60,67,74,0.2426443072317336,2,0.2
maksssksksss410.png,400,267,with_mask,87,53,95,62,0.2426443072317336,2,0.2
maksssksksss771.png,400,267,with_mask,31,109,93,161,0.206286836935167,2,0.2
maksssksksss771.png,400,267,with_mask,83,43,119,86,0.206286836935167,2,0.2
